Name,Span,Description,Rating,rating_category
Titan Maximum,(2009),Sci-fi stop-motion parody centering on a group of teen heroes that pilot a giant robot in order to protect the galaxy from evil.,7.0,average
American Dad!,(2005– ),"The escapades of Stan Smith, a conservative C.I.A. Agent dealing with family life, and keeping America safe.",7.4,average
Robot Chicken,(2001–2022),Pop culture references fly thick and fast as stop-motion animation is featured in sketches lampooning everything from television movies to comic books.,7.7,average
Bob's Burgers,(2011–2024),Bob Belcher runs a struggling burger shop with his wife and three children.,8.2,high
South Park,(1997– ),"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",8.7,high
Family Guy,(1999–2025),"In a wacky Rhode Island town, a dysfunctional family strives to cope with everyday life as they are thrown from one crazy scenario to another.",8.1,high
Aqua Teen Hunger Force,(2000–2023),"The misadventures of a milkshake, an order of fries, a meatball, and their retired next door neighbor in the suburbs of New Jersey.",7.7,average
The Simpsons,(1989– ),The satiric adventures of a working-class family in the misfit city of Springfield.,8.7,high
King of the Hill,(1997–2010),"A straight-laced propane salesman in Arlen, Texas tries to deal with the wacky antics of his family and friends, while also trying to keep his son in line.",7.5,average
Animaniacs,(1993–1998),The zany adventures of a trio of 1930s animated characters in the modern world.,7.9,average
Pinky and the Brain,(1995–1998),"Pinky and Brain are genetically enhanced laboratory mice who reside in the research facility. Brain is self-centered and scheming; Pinky is good-natured but feeble-minded. In each episode, Brain devises a new plan to take over the world.",7.8,average
The Grim Adventures of Billy & Mandy,(2001–2007),The ill-tempered Grim Reaper gets into a wager that forces him to become the life-long companions of two scheming youngsters after he loses.,7.7,average
Jackie Chan Adventures,(2000–2005),"Jackie Chan teams up with his 11-year-old niece, Jade, traveling the globe to locate a dozen magical talismans before the sinister Dark Hand does. Helping Jackie and Jade is Uncle, a cantankerous but wise antiquities expert.",7.4,average
Wolverine and the X-Men,(2008–2009),"After an explosion at the school, the X-Men went their separate ways. But they must unite once again under the leadership of Wolverine to prevent an inevitable war while also dealing with present problems.",8.0,average
Superman: The Animated Series,(1996–2000),The last son of the planet Krypton protects his adoptive home of Earth as the greatest of the superheroes.,8.1,high
Johnny Bravo,(1997–2004),"The misadventures of a dumb blond egomaniac who severely overestimates his own manliness and his supposed ""success"" with women.",7.2,average
Dexter's Laboratory,(1996–2003),The misadventures of a boy genius and his annoying sister.,7.9,average
Courage the Cowardly Dog,(1999–2002),"The offbeat adventures of Courage, a cowardly dog who must overcome his own fears to heroically defend his unknowing farmer owners from all kinds of dangers, paranormal events and menaces that appear around their land.",8.3,high
The Powerpuff Girls,(1998–2004),"Three super-powered little girls constantly save the world (or at least the city of Townsville) from monsters, would-be conquerers and a few other gross things.",7.3,average
"Ed, Edd n Eddy",(1999–2008),"The off-the-wall, day-to-day life of three friends who have exactly the same name.",7.5,average
X-Men: Evolution,(2000–2003),"This rendition of X-Men features Cyclops, Jean Grey, Rogue, Nightcrawler, Shadowcat and Spike as teenagers as they fight for a world that fears and hates them.",7.8,average
DuckTales,(2017–2021),"The comedy-adventure series chronicles the high-flying adventures of trillionaire Scrooge McDuck; his temperamental nephew Donald Duck; grandnephews Huey, Dewey, and Louie; Launchpad McQuack; and Mrs. Beakley and her granddaughter Webby.",8.3,high
Young Justice,(2010–2023),Teenage superheroes strive to prove themselves as members of the Justice League.,8.6,high
Xiaolin Showdown,(2003–2006),A young Xiaolin monk named Omi with a giant yellow head leads a trio of other students to collect powerful items known as Shen Gong Wu while battling the evil Jack Spicer who is also after the artifacts,7.4,average
The Bugs Bunny/Looney Tunes Comedy Hour,(1985–1986),"A Saturday morning series, collecting of some of the most popular classic cartoons from the Looney Tunes catalogue.",8.3,high
Tiny Toon Adventures,(1990–1995),"The wacky adventures of the new young hip generation of Warner Brothers Looney Tunes characters, most of them descendants of the original classic toon cast.",7.5,average
Fillmore!,(2002–2004),Former delinquent now fights for the good guys at X Middle School.,7.6,average
American Dragon: Jake Long,(2005–2007),A teenage slacker is given the ability to turn into the American Dragon and defends all mythical creatures that secretly reside in the human world.,6.6,average
Motorcity,(2012–2013),"A fictitious futuristic Detroit, which is an elevated metropolis built over the old Detroit, classified as Detroit Deluxe. It is owned by evil billionaire Abraham Kane.",7.2,average
Over the Garden Wall,(2014),Two brothers find themselves lost in a mysterious land and try to find their way home.,8.8,high
Extreme Ghostbusters,(1997),"Several years after the events of the original show and the movies, Dr. Egon Spengler agrees to help a group of his young students re-form the Ghostbusters under his mentorship.",6.9,average
My Life as a Teenage Robot,(2002–2023),The escapades of a super-powered robot who happens to resemble a teenage girl that tries to balance high school and teen problems while trying to save the world from danger.,7.0,average
The Legend of Calamity Jane,(1997–1998),The adventures of the legendary female western hero.,7.2,average
My Adventures with Superman,(2023– ),"Clark Kent builds his secret Superman identity and embraces his role as the hero of Metropolis, while sharing adventures and falling in love with Lois, a star investigative journalist, who also takes Jimmy Olsen under her wing.",7.7,average
Unicorn: Warriors Eternal,(2023– ),A team of ancestral heroes is charged with protecting the world from an ominous force and their awakening comes all too soon.,7.3,average
Clone High,(2002–2003),"The greatest minds of the world have been cloned, and are now attending high school together.",8.1,high
Mission Hill,(1999–2002),The misadventures of a group of disparate roomates who live in a hip neighborhood in a major city.,7.8,average
Clerks,(2000–2001),"The continuing adventures of clerks Dante and Randal, who try to make the best of their menial labor, with no help from Jay and Silent Bob.",7.4,average
Undergrads,(2001),The misadventures of a group of childhood friends who keep in touch while attending separate colleges.,7.8,average
Downtown,(1999–2000),The misadventures of a group of urban teens as they go about their lives.,8.3,high
The Last Kids on Earth,(2019–2021),"Young teenager Jack Sullivan and a group of friends live in a decked-out tree house, playing video games, eating candy, and fighting zombies in the aftermath of a monster apocalypse.",7.2,average
Hit-Monkey,(2021),"It tells the tale of a wronged Japanese snow monkey, mentored by the ghost of an American assassin, as he cuts a wide swath through the Tokyo underworld.",7.8,average
Legend Quest,(2017),"In 19th Century America, 12 year old Leo and his ghost companions defend their world against supernatural threats.",7.3,average
Godzilla: The Series,(1998–2001),"In this direct sequel to the 1998 Godzilla movie, Dr. Nico Tatopoulos leads a team, known as H.E.A.T, to battle giant monsters with the help of Godzilla's only living offspring.",6.8,average
The Hollow,(2018–2020),Three teen strangers awaken in a dangerous world and try to make sense of what connection they have to each other as they attempt to make it out alive.,7.2,average
Freakazoid!,(1995–1997),"Washington, D.C. has a new defender: Freakazoid. The comedy and insanity never stop when he's around, and he's only one of the weird heroes of the series. It's better than a nice tub of good things.",7.5,average
Histeria!,(1998–2000),"Edutainment animated series that parodies and satirizes history, pop culture and edutainment concept itself.",7.7,average
Duck Dodgers,(2003–2005),"Animated science fiction series based on the alter ego of Looney Tunes star Daffy Duck, the semi-heroic, yet incompetent, space captain Duck Dodgers.",7.7,average
Viking Skool,(2022),A group of young students in training to become Viking warriors embark on a series of humorous and exciting adventures in a mystical world.,6.4,average
The Looney Tunes Show,(2011–2015),An updated iteration of the classic Looney Tunes characters focusing on their satirical misadventures living in suburbia.,7.7,average
The Fairly OddParents,(2001–2017),"After being tortured and humiliated by his babysitter, a ten year old boy is put under the care of two fairy godparents, who can grant him almost any wish, which leads to dire consequences.",7.2,average
"The Adventures of Jimmy Neutron, Boy Genius",(2002–2006),"A young boy, who happens to be a genius, lives in a small town with his family and friends and often gets into crazy adventures with them involving the things he invents.",6.7,average
Daria,(1997–2002),A smart and cynical girl goes through teenage life as a proud outsider in a world of mainly idiotic adolescents and condescending adults.,8.1,high
